"checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","gender","civil_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","class"
"negative",12,"dully paid","new car",691,"between 500 and 999","more than 7 years",4,"male","single","individual",3,"life insurance",35,"no debt","owned",2,"skilled",1,"no","yes","bad"
"no checking",15,"dully paid","new car",5045,"between 100 and 499","more than 7 years",1,"female","unspecified","individual",4,"vehicle",59,"no debt","owned",1,"skilled",1,"yes","yes","good"
"negative",18,"dully paid","furniture/equipment",2124,"between 500 and 999","less than 4 years",4,"female","unspecified","individual",4,"real estate",24,"no debt","rented",2,"skilled",1,"no","yes","bad"
"negative",12,"delayed","radio/tv",2214,"between 500 and 999","less than 4 years",4,"male","single","individual",3,"life insurance",24,"no debt","owned",1,"unskilled res",1,"no","yes","good"
"no checking",21,"dully paid","new car",12680,"between 100 and 499","more than 7 years",4,"male","single","individual",4,"no collateral",30,"no debt","free use",1,"highly qualified",1,"yes","yes","bad"
"no checking",24,"dully paid","new car",2463,"less than 100","less than 7 years",4,"male","married/widowed","individual",3,"life insurance",27,"no debt","owned",2,"skilled",1,"yes","yes","good"
"less than 200",12,"delayed","radio/tv",1155,"between 500 and 999","more than 7 years",3,"male","married/widowed","guaranteed",3,"real estate",40,"bank debt","owned",2,"unskilled res",1,"no","yes","good"
"negative",30,"delayed","furniture/equipment",3108,"between 500 and 999","less than 1 year",2,"male","divorced","individual",4,"life insurance",31,"no debt","owned",1,"unskilled res",1,"no","yes","bad"
"no checking",10,"delayed","used car",2901,"between 100 and 499","less than 1 year",1,"female","unspecified","individual",4,"real estate",31,"no debt","rented",1,"skilled",1,"no","yes","good"
"less than 200",12,"dully paid","furniture/equipment",3617,"between 500 and 999","more than 7 years",1,"male","single","individual",4,"vehicle",28,"no debt","rented",3,"skilled",1,"yes","yes","good"
"no checking",12,"dully paid","radio/tv",1655,"between 500 and 999","more than 7 years",2,"male","single","individual",4,"real estate",63,"no debt","owned",2,"unskilled res",1,"yes","yes","good"
"negative",24,"delayed","used car",2812,"between 100 and 499","more than 7 years",2,"female","unspecified","individual",4,"real estate",26,"no debt","rented",1,"skilled",1,"no","yes","good"
"negative",36,"dully paid","education",8065,"between 500 and 999","less than 4 years",3,"female","unspecified","individual",2,"no collateral",25,"no debt","owned",2,"highly qualified",1,"yes","yes","bad"
"no checking",21,"dully paid","used car",3275,"between 500 and 999","more than 7 years",1,"male","single","individual",4,"vehicle",36,"no debt","owned",1,"highly qualified",1,"yes","yes","good"
"no checking",24,"dully paid","radio/tv",2223,"less than 100","more than 7 years",4,"male","single","individual",4,"life insurance",52,"bank debt","owned",2,"skilled",1,"no","yes","good"
"more than or = 200",12,"dully paid","new car",1480,"more than or = 1000","unemployed",2,"male","single","individual",4,"no collateral",66,"bank debt","free use",3,"unskilled non-res",1,"no","yes","good"
"negative",24,"delayed","new car",1371,"between 100 and 499","less than 4 years",4,"female","unspecified","individual",4,"real estate",25,"no debt","rented",1,"skilled",1,"no","yes","bad"
"no checking",36,"dully paid","new car",3535,"between 500 and 999","less than 7 years",4,"male","single","individual",4,"vehicle",37,"no debt","owned",2,"skilled",1,"yes","yes","good"
"negative",18,"delayed","radio/tv",3509,"between 500 and 999","less than 7 years",4,"female","unspecified","guaranteed",1,"real estate",25,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",36,"dully paid","used car",5711,"no savingss","more than 7 years",4,"male","single","individual",2,"vehicle",38,"no debt","owned",2,"highly qualified",1,"yes","yes","good"
"less than 200",18,"delayed","repairs",3872,"between 500 and 999","unemployed",2,"female","unspecified","individual",4,"vehicle",67,"no debt","owned",1,"skilled",1,"yes","yes","good"
"less than 200",39,"dully paid","radio/tv",4933,"between 500 and 999","less than 7 years",2,"male","single","guaranteed",2,"real estate",25,"no debt","owned",2,"skilled",1,"no","yes","bad"
"no checking",24,"dully paid","new car",1940,"no savingss","more than 7 years",4,"male","single","individual",4,"real estate",60,"no debt","owned",1,"skilled",1,"yes","yes","good"
"less than 200",12,"duly paying","retraining",1410,"between 500 and 999","less than 4 years",2,"male","single","individual",2,"real estate",31,"no debt","owned",1,"unskilled res",1,"yes","yes","good"
"less than 200",12,"delayed","new car",836,"less than 100","less than 1 year",4,"female","unspecified","individual",2,"life insurance",23,"bank debt","owned",1,"unskilled res",1,"no","yes","bad"
"less than 200",20,"delayed","used car",6468,"between 100 and 499","unemployed",1,"male","divorced","individual",4,"real estate",60,"no debt","owned",1,"highly qualified",1,"yes","yes","good"
"less than 200",18,"delayed","business",1941,"no savingss","less than 4 years",4,"male","single","individual",2,"life insurance",35,"no debt","owned",1,"unskilled res",1,"yes","yes","good"
"no checking",22,"delayed","radio/tv",2675,"more than or = 1000","more than 7 years",3,"male","single","individual",4,"vehicle",40,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",48,"dully paid","used car",2751,"between 100 and 499","more than 7 years",4,"male","single","individual",3,"vehicle",38,"no debt","owned",2,"skilled",2,"yes","yes","good"
"less than 200",48,"critical","education",6224,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"no collateral",50,"no debt","free use",1,"skilled",1,"no","yes","bad"
"negative",40,"dully paid","education",5998,"between 500 and 999","less than 4 years",4,"male","single","individual",3,"no collateral",27,"bank debt","owned",1,"skilled",1,"yes","yes","bad"
"less than 200",21,"delayed","business",1188,"between 500 and 999","more than 7 years",2,"female","unspecified","individual",4,"life insurance",39,"no debt","owned",1,"skilled",2,"no","yes","bad"
"no checking",24,"delayed","used car",6313,"between 100 and 499","more than 7 years",3,"male","single","individual",4,"vehicle",41,"no debt","owned",1,"highly qualified",2,"yes","yes","good"
"no checking",6,"dully paid","furniture/equipment",1221,"between 100 and 499","less than 4 years",1,"male","married/widowed","individual",2,"life insurance",27,"no debt","owned",2,"skilled",1,"no","yes","good"
"more than or = 200",24,"delayed","furniture/equipment",2892,"between 500 and 999","more than 7 years",3,"male","divorced","individual",4,"no collateral",51,"no debt","free use",1,"skilled",1,"no","yes","good"
"no checking",24,"delayed","furniture/equipment",3062,"more than or = 1000","more than 7 years",4,"male","single","individual",3,"no collateral",32,"no debt","rented",1,"skilled",1,"yes","yes","good"
"no checking",9,"delayed","furniture/equipment",2301,"less than 100","less than 1 year",2,"female","unspecified","individual",4,"life insurance",22,"no debt","rented",1,"skilled",1,"no","yes","good"
"negative",18,"delayed","used car",7511,"between 100 and 499","more than 7 years",1,"male","single","individual",4,"life insurance",51,"no debt","free use",1,"skilled",2,"yes","yes","bad"
"no checking",12,"dully paid","furniture/equipment",1258,"between 500 and 999","less than 1 year",2,"female","unspecified","individual",4,"life insurance",22,"no debt","rented",2,"unskilled res",1,"no","yes","good"
"no checking",24,"critical","new car",717,"between 100 and 499","more than 7 years",4,"male","married/widowed","individual",4,"vehicle",54,"no debt","owned",2,"skilled",1,"yes","yes","good"
"less than 200",9,"delayed","new car",1549,"between 100 and 499","less than 1 year",4,"male","single","individual",2,"real estate",35,"no debt","owned",1,"unskilled non-res",1,"no","yes","good"
"no checking",24,"dully paid","education",1597,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"no collateral",54,"no debt","free use",2,"skilled",2,"no","yes","good"
"less than 200",18,"dully paid","radio/tv",1795,"between 500 and 999","more than 7 years",3,"female","unspecified","guaranteed",4,"real estate",48,"bank debt","rented",2,"unskilled res",1,"yes","yes","good"
"negative",20,"dully paid","furniture/equipment",4272,"between 500 and 999","more than 7 years",1,"female","unspecified","individual",4,"life insurance",24,"no debt","owned",2,"skilled",1,"no","yes","good"
"no checking",12,"dully paid","radio/tv",976,"between 100 and 499","more than 7 years",4,"male","single","individual",4,"vehicle",35,"no debt","owned",2,"skilled",1,"no","yes","good"
"less than 200",12,"delayed","new car",7472,"between 100 and 499","unemployed",1,"female","unspecified","individual",2,"real estate",24,"no debt","rented",1,"unskilled non-res",1,"no","yes","good"
"negative",36,"delayed","new car",9271,"between 500 and 999","less than 7 years",2,"male","single","individual",1,"vehicle",24,"no debt","owned",1,"skilled",1,"yes","yes","bad"
"less than 200",6,"delayed","radio/tv",590,"between 500 and 999","less than 1 year",3,"male","married/widowed","individual",3,"real estate",26,"no debt","owned",1,"unskilled res",1,"no","no","good"
"no checking",12,"dully paid","radio/tv",930,"between 100 and 499","more than 7 years",4,"male","single","individual",4,"real estate",65,"no debt","owned",4,"skilled",1,"no","yes","good"
"less than 200",42,"no credits","used car",9283,"between 500 and 999","unemployed",1,"male","single","individual",2,"no collateral",55,"bank debt","free use",1,"highly qualified",1,"yes","yes","good"
"less than 200",15,"duly paying","new car",1778,"between 500 and 999","less than 1 year",2,"female","unspecified","individual",1,"real estate",26,"no debt","rented",2,"unskilled non-res",1,"no","yes","bad"
"less than 200",8,"delayed","business",907,"between 500 and 999","less than 1 year",3,"male","married/widowed","individual",2,"real estate",26,"no debt","owned",1,"skilled",1,"yes","yes","good"
"less than 200",6,"delayed","radio/tv",484,"between 500 and 999","less than 7 years",3,"male","married/widowed","guaranteed",3,"real estate",28,"bank debt","owned",1,"unskilled res",1,"no","yes","good"
"negative",36,"dully paid","used car",9629,"between 500 and 999","less than 7 years",4,"male","single","individual",4,"vehicle",24,"no debt","owned",2,"skilled",1,"yes","yes","bad"
"negative",48,"delayed","domestic appliance",3051,"between 500 and 999","less than 4 years",3,"male","single","individual",4,"vehicle",54,"no debt","owned",1,"skilled",1,"no","yes","bad"
"negative",48,"delayed","new car",3931,"between 500 and 999","less than 7 years",4,"male","single","individual",4,"no collateral",46,"no debt","free use",1,"skilled",2,"no","yes","bad"
"less than 200",36,"critical","new car",7432,"between 500 and 999","less than 4 years",2,"female","unspecified","individual",2,"life insurance",54,"no debt","rented",1,"skilled",1,"no","yes","good"
"no checking",6,"delayed","domestic appliance",1338,"more than or = 1000","less than 4 years",1,"male","divorced","individual",4,"real estate",62,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",6,"dully paid","radio/tv",1554,"between 500 and 999","less than 7 years",1,"female","unspecified","individual",2,"vehicle",24,"no debt","rented",2,"skilled",1,"yes","yes","good"
"negative",36,"delayed","other",15857,"between 500 and 999","unemployed",2,"male","divorced","co-aplicant",3,"vehicle",43,"no debt","owned",1,"highly qualified",1,"no","yes","good"
"negative",18,"delayed","radio/tv",1345,"between 500 and 999","less than 4 years",4,"male","married/widowed","individual",3,"real estate",26,"bank debt","owned",1,"skilled",1,"no","yes","bad"
"no checking",12,"delayed","new car",1101,"between 500 and 999","less than 4 years",3,"male","married/widowed","individual",2,"real estate",27,"no debt","owned",2,"skilled",1,"yes","yes","good"
"more than or = 200",12,"delayed","radio/tv",3016,"between 500 and 999","less than 4 years",3,"male","married/widowed","individual",1,"vehicle",24,"no debt","owned",1,"skilled",1,"no","yes","good"
"negative",36,"delayed","furniture/equipment",2712,"between 500 and 999","more than 7 years",2,"male","single","individual",2,"life insurance",41,"bank debt","owned",1,"skilled",2,"no","yes","bad"
"negative",8,"dully paid","new car",731,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"real estate",47,"no debt","owned",2,"unskilled res",1,"no","yes","good"
"no checking",18,"dully paid","furniture/equipment",3780,"between 500 and 999","less than 1 year",3,"male","divorced","individual",2,"vehicle",35,"no debt","owned",2,"highly qualified",1,"yes","yes","good"
"negative",21,"dully paid","new car",1602,"between 500 and 999","more than 7 years",4,"male","married/widowed","individual",3,"vehicle",30,"no debt","owned",2,"skilled",1,"yes","yes","good"
"negative",18,"dully paid","new car",3966,"between 500 and 999","more than 7 years",1,"female","unspecified","individual",4,"real estate",33,"bank debt","rented",3,"skilled",1,"yes","yes","bad"
"no checking",18,"duly paying","business",4165,"between 500 and 999","less than 4 years",2,"male","single","individual",2,"vehicle",36,"purchase debt","owned",2,"skilled",2,"no","yes","bad"
"negative",36,"delayed","used car",8335,"between 100 and 499","more than 7 years",3,"male","single","individual",4,"no collateral",47,"no debt","free use",1,"skilled",1,"no","yes","bad"
"less than 200",48,"critical","business",6681,"between 100 and 499","less than 4 years",4,"male","single","individual",4,"no collateral",38,"no debt","free use",1,"skilled",2,"yes","yes","good"
"no checking",24,"critical","business",2375,"more than or = 1000","less than 4 years",4,"male","single","individual",2,"vehicle",44,"no debt","owned",2,"skilled",2,"yes","yes","good"
"negative",18,"delayed","new car",1216,"between 500 and 999","less than 1 year",4,"female","unspecified","individual",3,"vehicle",23,"no debt","rented",1,"skilled",1,"yes","yes","bad"
"negative",45,"duly paying","business",11816,"between 500 and 999","more than 7 years",2,"male","single","individual",4,"vehicle",29,"no debt","rented",2,"skilled",1,"no","yes","bad"
"less than 200",24,"delayed","radio/tv",5084,"between 100 and 499","more than 7 years",2,"female","unspecified","individual",4,"vehicle",42,"no debt","owned",1,"skilled",1,"yes","yes","good"
"more than or = 200",15,"delayed","radio/tv",2327,"between 500 and 999","less than 1 year",2,"female","unspecified","individual",3,"real estate",25,"no debt","owned",1,"unskilled res",1,"no","yes","bad"
"negative",12,"duly paying","new car",1082,"between 500 and 999","less than 4 years",4,"male","single","individual",4,"vehicle",48,"bank debt","owned",2,"skilled",1,"no","yes","bad"
"no checking",12,"delayed","radio/tv",886,"between 100 and 499","less than 4 years",4,"female","unspecified","individual",2,"vehicle",21,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",4,"delayed","furniture/equipment",601,"between 500 and 999","less than 1 year",1,"female","unspecified","individual",3,"real estate",23,"no debt","rented",1,"unskilled res",2,"no","yes","good"
"negative",24,"dully paid","used car",2957,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"life insurance",63,"no debt","owned",2,"skilled",1,"yes","yes","good"
"no checking",24,"dully paid","radio/tv",2611,"between 500 and 999","more than 7 years",4,"male","married/widowed","co-aplicant",3,"real estate",46,"no debt","owned",2,"skilled",1,"no","yes","good"
"negative",36,"delayed","furniture/equipment",5179,"between 500 and 999","less than 7 years",4,"male","single","individual",2,"life insurance",29,"no debt","owned",1,"skilled",1,"no","yes","bad"
"no checking",21,"critical","used car",2993,"between 500 and 999","less than 4 years",3,"male","single","individual",2,"real estate",28,"purchase debt","owned",2,"unskilled res",1,"no","yes","good"
"no checking",18,"delayed","repairs",1943,"between 500 and 999","less than 1 year",4,"female","unspecified","individual",4,"real estate",23,"no debt","owned",1,"skilled",1,"no","yes","bad"
"no checking",24,"no credits","business",1559,"between 500 and 999","less than 7 years",4,"male","single","individual",4,"vehicle",50,"bank debt","owned",1,"skilled",1,"yes","yes","good"
"no checking",18,"delayed","furniture/equipment",3422,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"life insurance",47,"bank debt","owned",3,"skilled",2,"yes","yes","good"
"less than 200",21,"delayed","furniture/equipment",3976,"between 100 and 499","less than 7 years",2,"male","single","individual",3,"vehicle",35,"no debt","owned",1,"skilled",1,"yes","yes","good"
"no checking",18,"delayed","new car",6761,"between 100 and 499","less than 4 years",2,"male","single","individual",4,"vehicle",68,"no debt","rented",2,"skilled",1,"no","yes","bad"
"no checking",24,"delayed","new car",1249,"between 500 and 999","less than 1 year",4,"male","married/widowed","individual",2,"real estate",28,"no debt","owned",1,"skilled",1,"no","yes","good"
"negative",9,"delayed","radio/tv",1364,"between 500 and 999","less than 7 years",3,"male","single","individual",4,"real estate",59,"no debt","owned",1,"skilled",1,"no","yes","good"
"negative",12,"delayed","radio/tv",709,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"real estate",57,"purchase debt","owned",1,"unskilled res",1,"no","yes","bad"
"negative",20,"dully paid","new car",2235,"between 500 and 999","less than 4 years",4,"male","married/widowed","guaranteed",2,"life insurance",33,"bank debt","rented",2,"skilled",1,"no","no","bad"
"no checking",24,"dully paid","used car",4042,"between 100 and 499","less than 7 years",3,"male","single","individual",4,"life insurance",43,"no debt","owned",2,"skilled",1,"yes","yes","good"
"no checking",15,"dully paid","radio/tv",1471,"between 500 and 999","less than 4 years",4,"male","single","individual",4,"no collateral",35,"no debt","free use",2,"skilled",1,"yes","yes","good"
"negative",18,"no credits","new car",1442,"between 500 and 999","less than 7 years",4,"male","single","individual",4,"no collateral",32,"no debt","free use",2,"unskilled res",2,"no","yes","bad"
"no checking",36,"critical","new car",10875,"between 500 and 999","more than 7 years",2,"male","single","individual",2,"vehicle",45,"no debt","owned",2,"skilled",2,"yes","yes","good"
"no checking",24,"delayed","new car",1474,"less than 100","less than 1 year",4,"male","married/widowed","individual",3,"real estate",33,"no debt","owned",1,"skilled",1,"yes","yes","good"
"no checking",10,"delayed","retraining",894,"between 100 and 499","less than 7 years",4,"female","unspecified","individual",3,"life insurance",40,"no debt","owned",1,"skilled",1,"yes","yes","good"
"no checking",15,"dully paid","furniture/equipment",3343,"between 500 and 999","less than 4 years",4,"male","single","individual",2,"no collateral",28,"no debt","free use",1,"skilled",1,"yes","yes","good"
"negative",15,"delayed","new car",3959,"between 500 and 999","less than 4 years",3,"female","unspecified","individual",2,"life insurance",29,"no debt","owned",1,"skilled",1,"yes","yes","bad"
"no checking",9,"delayed","new car",3577,"less than 100","less than 4 years",1,"male","single","guaranteed",2,"real estate",26,"no debt","rented",1,"skilled",2,"no","no","good"
"no checking",24,"dully paid","used car",5804,"no savingss","less than 4 years",4,"male","single","individual",2,"real estate",27,"no debt","owned",2,"skilled",1,"no","yes","good"
"no checking",18,"critical","business",2169,"between 500 and 999","less than 4 years",4,"male","married/widowed","individual",2,"vehicle",28,"no debt","owned",1,"skilled",1,"yes","yes","bad"
"negative",24,"delayed","radio/tv",2439,"between 500 and 999","less than 1 year",4,"female","unspecified","individual",4,"real estate",35,"no debt","owned",1,"skilled",1,"yes","yes","bad"
"no checking",27,"dully paid","furniture/equipment",4526,"no savingss","less than 1 year",4,"male","single","individual",2,"real estate",32,"purchase debt","owned",2,"unskilled res",2,"yes","yes","good"
"no checking",10,"delayed","furniture/equipment",2210,"between 500 and 999","less than 4 years",2,"male","single","individual",2,"real estate",25,"bank debt","rented",1,"unskilled res",1,"no","yes","bad"
"no checking",15,"delayed","furniture/equipment",2221,"more than or = 1000","less than 4 years",2,"female","unspecified","individual",4,"vehicle",20,"no debt","rented",1,"skilled",1,"no","yes","good"
"negative",18,"delayed","radio/tv",2389,"between 500 and 999","less than 1 year",4,"female","unspecified","individual",1,"vehicle",27,"purchase debt","owned",1,"skilled",1,"no","yes","good"
"no checking",12,"dully paid","furniture/equipment",3331,"between 500 and 999","more than 7 years",2,"male","single","individual",4,"life insurance",42,"purchase debt","owned",1,"skilled",1,"no","yes","good"
"no checking",36,"delayed","business",7409,"between 100 and 499","more than 7 years",3,"male","single","individual",2,"life insurance",37,"no debt","owned",2,"skilled",1,"no","yes","good"
"negative",12,"delayed","furniture/equipment",652,"between 500 and 999","more than 7 years",4,"female","unspecified","individual",4,"life insurance",24,"no debt","rented",1,"skilled",1,"no","yes","good"
"no checking",36,"critical","furniture/equipment",7678,"more than or = 1000","less than 7 years",2,"female","unspecified","individual",4,"vehicle",40,"no debt","owned",2,"skilled",1,"yes","yes","good"
"more than or = 200",6,"dully paid","new car",1343,"between 500 and 999","more than 7 years",1,"male","single","individual",4,"real estate",46,"no debt","owned",2,"skilled",2,"no","no","good"
"negative",24,"dully paid","business",1382,"less than 100","less than 7 years",4,"male","single","individual",1,"real estate",26,"no debt","owned",2,"skilled",1,"yes","yes","good"
"no checking",15,"delayed","domestic appliance",874,"between 100 and 499","less than 1 year",4,"female","unspecified","individual",1,"real estate",24,"no debt","owned",1,"skilled",1,"no","yes","good"
"negative",12,"delayed","furniture/equipment",3590,"between 500 and 999","less than 4 years",2,"male","single","co-aplicant",2,"life insurance",29,"no debt","owned",1,"unskilled res",2,"no","yes","good"
"less than 200",11,"dully paid","new car",1322,"no savingss","less than 4 years",4,"female","unspecified","individual",4,"vehicle",40,"no debt","owned",2,"skilled",1,"no","yes","good"
"negative",18,"no credits","radio/tv",1940,"between 500 and 999","less than 1 year",3,"male","single","co-aplicant",4,"no collateral",36,"bank debt","free use",1,"highly qualified",1,"yes","yes","good"
"no checking",36,"delayed","radio/tv",3595,"between 500 and 999","more than 7 years",4,"male","single","individual",2,"vehicle",28,"no debt","owned",1,"skilled",1,"no","yes","good"
"negative",9,"delayed","new car",1422,"between 500 and 999","less than 1 year",3,"male","single","individual",2,"no collateral",27,"no debt","free use",1,"highly qualified",1,"yes","yes","bad"
"no checking",30,"dully paid","radio/tv",6742,"between 100 and 499","less than 7 years",2,"male","single","individual",3,"life insurance",36,"no debt","owned",2,"skilled",1,"no","yes","good"
"no checking",24,"delayed","used car",7814,"between 500 and 999","less than 7 years",3,"male","single","individual",3,"vehicle",38,"no debt","owned",1,"highly qualified",1,"yes","yes","good"
"no checking",24,"delayed","used car",9277,"between 100 and 499","less than 4 years",2,"male","divorced","individual",4,"no collateral",48,"no debt","free use",1,"skilled",1,"yes","yes","good"
"less than 200",30,"dully paid","new car",2181,"between 100 and 499","more than 7 years",4,"male","single","individual",4,"real estate",36,"no debt","owned",2,"skilled",1,"no","yes","good"
"no checking",18,"dully paid","radio/tv",1098,"between 500 and 999","unemployed",4,"female","unspecified","individual",4,"vehicle",65,"no debt","owned",2,"unskilled non-res",1,"no","yes","good"
"less than 200",24,"delayed","furniture/equipment",4057,"between 500 and 999","less than 7 years",3,"male","divorced","individual",3,"vehicle",43,"no debt","owned",1,"skilled",1,"yes","yes","bad"
"negative",12,"delayed","education",795,"between 500 and 999","less than 1 year",4,"female","unspecified","individual",4,"life insurance",53,"no debt","owned",1,"skilled",1,"no","yes","bad"
"less than 200",24,"dully paid","business",2825,"between 100 and 499","less than 7 years",4,"male","single","individual",3,"no collateral",34,"no debt","owned",2,"skilled",2,"yes","yes","good"
"less than 200",48,"delayed","business",15672,"between 500 and 999","less than 4 years",2,"male","single","individual",2,"vehicle",23,"no debt","owned",1,"skilled",1,"yes","yes","bad"
"no checking",36,"dully paid","new car",6614,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"vehicle",34,"no debt","owned",2,"highly qualified",1,"yes","yes","good"
"no checking",28,"no credits","used car",7824,"between 100 and 499","less than 1 year",3,"male","single","guaranteed",4,"real estate",40,"bank debt","rented",2,"skilled",2,"yes","yes","good"
"negative",27,"dully paid","business",2442,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"vehicle",43,"purchase debt","owned",4,"highly qualified",2,"yes","yes","good"
"no checking",15,"dully paid","radio/tv",1829,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"vehicle",46,"no debt","owned",2,"skilled",1,"yes","yes","good"
"negative",12,"dully paid","new car",2171,"between 500 and 999","less than 4 years",4,"male","single","individual",4,"life insurance",38,"bank debt","owned",2,"unskilled res",1,"no","no","good"
"less than 200",36,"dully paid","used car",5800,"between 500 and 999","less than 4 years",3,"male","single","individual",4,"vehicle",34,"no debt","owned",2,"skilled",1,"yes","yes","good"
"no checking",18,"dully paid","radio/tv",1169,"between 100 and 499","less than 4 years",4,"male","single","individual",3,"life insurance",29,"no debt","owned",2,"skilled",1,"yes","yes","good"
"no checking",36,"critical","used car",8947,"between 100 and 499","less than 7 years",3,"male","single","individual",2,"vehicle",31,"purchase debt","owned",1,"highly qualified",2,"yes","yes","good"
"negative",21,"delayed","radio/tv",2606,"between 500 and 999","less than 1 year",4,"female","unspecified","individual",4,"life insurance",28,"no debt","rented",1,"highly qualified",1,"yes","yes","good"
"no checking",12,"dully paid","furniture/equipment",1592,"no savingss","less than 7 years",3,"female","unspecified","individual",2,"life insurance",35,"no debt","owned",1,"skilled",1,"no","no","good"
"no checking",15,"delayed","furniture/equipment",2186,"between 100 and 499","less than 7 years",1,"female","unspecified","individual",4,"real estate",33,"bank debt","rented",1,"unskilled res",1,"no","yes","good"
"negative",18,"delayed","furniture/equipment",4153,"between 500 and 999","less than 4 years",2,"male","single","co-aplicant",3,"vehicle",42,"no debt","owned",1,"skilled",1,"no","yes","bad"
"negative",16,"dully paid","new car",2625,"between 500 and 999","more than 7 years",2,"male","single","guaranteed",4,"life insurance",43,"bank debt","rented",1,"skilled",1,"yes","yes","bad"
"no checking",20,"dully paid","new car",3485,"between 100 and 499","less than 1 year",2,"male","divorced","individual",4,"real estate",44,"no debt","owned",2,"skilled",1,"yes","yes","good"
"no checking",36,"dully paid","used car",10477,"between 100 and 499","more than 7 years",2,"male","single","individual",4,"no collateral",42,"no debt","free use",2,"skilled",1,"no","yes","good"
"no checking",15,"delayed","radio/tv",1386,"between 100 and 499","less than 4 years",4,"male","married/widowed","individual",2,"real estate",40,"no debt","rented",1,"skilled",1,"yes","yes","good"
"no checking",24,"delayed","radio/tv",1278,"between 500 and 999","more than 7 years",4,"male","single","individual",1,"real estate",36,"no debt","owned",1,"highly qualified",1,"yes","yes","good"
"negative",12,"delayed","radio/tv",1107,"between 500 and 999","less than 4 years",2,"male","single","individual",2,"real estate",20,"no debt","rented",1,"highly qualified",2,"yes","yes","good"
"negative",21,"delayed","new car",3763,"between 100 and 499","less than 7 years",2,"male","single","co-aplicant",2,"real estate",24,"no debt","owned",1,"unskilled res",1,"no","no","good"
"less than 200",36,"delayed","education",3711,"between 100 and 499","less than 4 years",2,"male","married/widowed","individual",2,"vehicle",27,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",15,"critical","used car",3594,"between 500 and 999","less than 1 year",1,"female","unspecified","individual",2,"life insurance",46,"no debt","owned",2,"unskilled res",1,"no","yes","good"
"less than 200",9,"delayed","new car",3195,"between 100 and 499","less than 4 years",1,"female","unspecified","individual",2,"real estate",33,"no debt","owned",1,"unskilled res",1,"no","yes","good"
"no checking",36,"critical","radio/tv",4454,"between 500 and 999","less than 4 years",4,"female","unspecified","individual",4,"real estate",34,"no debt","owned",2,"skilled",1,"no","yes","good"
"less than 200",24,"dully paid","furniture/equipment",4736,"between 500 and 999","less than 1 year",2,"female","unspecified","individual",4,"vehicle",25,"bank debt","owned",1,"unskilled res",1,"no","yes","bad"
"less than 200",30,"delayed","radio/tv",2991,"between 100 and 499","more than 7 years",2,"female","unspecified","individual",4,"vehicle",25,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",11,"delayed","business",2142,"no savingss","more than 7 years",1,"male","divorced","individual",2,"real estate",28,"no debt","owned",1,"skilled",1,"yes","yes","good"
"negative",24,"no credits","business",3161,"between 500 and 999","less than 4 years",4,"male","single","individual",2,"life insurance",31,"no debt","rented",1,"skilled",1,"yes","yes","bad"
"less than 200",48,"duly paying","other",18424,"between 500 and 999","less than 4 years",1,"female","unspecified","individual",2,"life insurance",32,"bank debt","owned",1,"highly qualified",1,"yes","no","bad"
"no checking",10,"delayed","used car",2848,"less than 100","less than 4 years",1,"male","single","co-aplicant",2,"real estate",32,"no debt","owned",1,"skilled",2,"no","yes","good"
"negative",6,"delayed","new car",14896,"between 500 and 999","more than 7 years",1,"male","single","individual",4,"no collateral",68,"bank debt","owned",1,"highly qualified",1,"yes","yes","bad"
"negative",24,"delayed","furniture/equipment",2359,"less than 100","unemployed",1,"male","divorced","individual",1,"life insurance",33,"no debt","owned",1,"skilled",1,"no","yes","bad"
"negative",24,"delayed","furniture/equipment",3345,"between 500 and 999","more than 7 years",4,"male","single","individual",2,"life insurance",39,"no debt","rented",1,"highly qualified",1,"yes","yes","bad"
"no checking",18,"dully paid","furniture/equipment",1817,"between 500 and 999","less than 4 years",4,"female","unspecified","individual",2,"no collateral",28,"no debt","owned",2,"skilled",1,"no","yes","good"
"no checking",48,"critical","radio/tv",12749,"more than or = 1000","less than 7 years",4,"male","single","individual",1,"vehicle",37,"no debt","owned",1,"highly qualified",1,"yes","yes","good"
"negative",9,"delayed","radio/tv",1366,"between 500 and 999","less than 1 year",3,"female","unspecified","individual",4,"life insurance",22,"no debt","rented",1,"skilled",1,"no","yes","bad"
